"nsrsbh","nsrmc","xyjb","nd","fz","updata_time"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,A,"2022",90,"2025-12-30 09:00:58"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,A,"2023",91,"2025-12-30 09:00:58"
"91340111MA8LKAY2X5",蔚来动力科技（合肥）有限公司,B,"2023",90,"2025-12-30 09:00:58"
"91340111MA2UE6238F",合肥哈工创飞智能设备有限公司,M,"2023",90,"2025-12-30 09:00:58"
"91340111MA8LKAY2X5",蔚来动力科技（合肥）有限公司,B,"2022",88,"2025-12-30 09:00:58"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,A,"2024",92,"2025-12-30 09:00:58"
"91340111MA2UE6238F",合肥哈工创飞智能设备有限公司,M,"2024",90,"2025-12-30 09:00:58"
"91340111MA8LKAY2X5",蔚来动力科技（合肥）有限公司,B,"2024",90,"2025-12-30 09:00:58"
"91340111MA2UE6238F",合肥哈工创飞智能设备有限公司,M,"2022",90,"2025-12-30 09:00:58"
