2023080100001;安徽旭能电力股份有限公司;91341124087565441U;2023-08-2514:40:00;AP37,AP38,AP119;720
2023080100002;合肥岱山湖羽绒制品有限公司;91340122050170905Y;2023-08-25 14:40:00;AP26,AP38;500
2023080200003;安徽朝界机械制造有限公司;91340123MA2WT4BP35;2023-08-25 14:40:00;AP26,AP38;500
